A0,A1,A2,A3
5.611,5.536,5.55,5.611
5.601,5.536,5.55,5.564
5.625,5.559,5.573,5.545
5.606,5.517,5.564,5.526
5.597,5.573,5.55,5.568
5.601,5.597,5.568,5.54
5.615,5.564,5.526,5.573
5.634,5.587,5.568,5.507
5.601,5.559,5.564,5.564
5.625,5.531,5.554,5.597
5.597,5.526,5.545,5.568
5.568,5.536,5.55,5.601
5.615,5.601,5.531,5.568
5.583,5.554,5.536,5.568
5.583,5.503,5.526,5.592
5.606,5.526,5.536,5.55
5.536,5.554,5.564,5.559
5.634,5.54,5.55,5.554
5.568,5.564,5.55,5.503
5.592,5.512,5.54,5.531
5.634,5.554,5.545,5.526
5.597,5.597,5.531,5.568
5.611,5.559,5.512,5.526
5.62,5.559,5.587,5.578
5.615,5.554,5.517,5.568
5.597,5.526,5.531,5.526
5.568,5.564,5.554,5.536
5.611,5.559,5.55,5.545
5.592,5.578,5.536,5.536
5.601,5.559,5.545,5.526
5.634,5.522,5.554,5.568
5.625,5.554,5.545,5.526
5.587,5.536,5.55,5.554
5.611,5.512,5.517,5.536
5.601,5.526,5.536,5.531
5.597,5.564,5.559,5.522
5.625,5.564,5.545,5.578
5.559,5.522,5.512,5.536
5.564,5.507,5.526,5.536
5.573,5.526,5.526,5.526
5.606,5.568,5.545,5.568
5.559,5.564,5.559,5.526
5.583,5.606,5.568,5.554
5.601,5.526,5.531,5.554
5.583,5.55,5.522,5.54
5.583,5.55,5.536,5.545
5.658,5.531,5.531,5.498
5.592,5.531,5.564,5.517
5.648,5.526,5.536,5.578
5.583,5.498,5.517,5.568
5.629,5.568,5.55,5.559
5.545,5.597,5.554,5.587
5.611,5.517,5.554,5.54
5.601,5.54,5.55,5.531
5.634,5.55,5.531,5.564
5.611,5.55,5.526,5.512
5.545,5.597,5.536,5.512
5.597,5.545,5.531,5.54
5.559,5.55,5.531,5.573
5.615,5.564,5.522,5.526
5.55,5.512,5.507,5.503
5.597,5.507,5.545,5.526
5.62,5.54,5.545,5.54
5.639,5.536,5.554,5.531
5.568,5.583,5.512,0.0
5.573,5.545,5.54,0.0
5.601,5.559,5.526,5.545
5.62,5.517,5.536,5.55
5.629,5.559,5.536,5.545
5.625,5.507,5.522,5.55
5.644,5.554,5.503,5.507
5.583,5.554,5.526,5.522
5.601,5.55,5.522,5.587
5.615,5.522,5.564,5.545
5.611,5.536,5.568,5.522
5.625,5.531,5.564,5.578
5.639,5.592,5.536,5.526
5.601,5.54,5.526,5.573
5.587,5.554,5.545,5.554
5.601,5.536,5.559,5.55
5.62,5.54,5.517,5.507
5.606,5.55,5.517,5.55
5.597,5.54,5.536,5.55
5.601,5.531,5.545,5.55
5.573,5.54,5.54,5.526
5.559,5.55,5.522,5.536
5.592,5.526,5.545,5.578
5.592,5.54,5.54,5.568
5.578,5.507,5.526,5.573
5.583,5.578,5.545,5.568
5.587,5.573,5.536,5.536
5.597,5.545,5.545,5.597
5.583,5.554,5.54,5.578
5.592,5.545,5.564,5.522
5.587,5.512,5.545,5.568
5.55,5.573,5.526,5.564
5.55,5.568,5.559,5.545
5.564,5.531,5.54,5.526
5.62,5.545,5.55,5.564
5.648,5.573,5.545,5.55
5.606,5.545,5.568,5.484
5.507,5.578,5.554,5.522
5.625,5.554,5.526,5.526
5.583,5.568,5.568,5.564
5.578,5.55,5.559,5.531
5.62,5.554,5.545,5.564
5.611,5.55,5.554,5.503
5.573,5.545,5.55,5.498
5.554,5.559,5.559,5.507
5.658,5.564,5.54,5.54
5.644,5.554,5.583,5.498
5.648,5.531,5.531,5.517
5.625,5.522,5.54,5.578
5.587,5.55,5.531,5.517
5.583,5.55,5.531,5.493
5.653,5.517,5.554,5.545
5.568,5.564,5.55,5.54
5.625,5.55,5.531,5.559
5.615,5.531,5.554,5.583
5.564,5.564,5.54,5.512
5.62,5.564,5.55,5.559
5.597,5.526,5.545,5.545
5.554,5.54,5.531,5.512
5.653,5.522,5.545,5.568
5.634,5.559,5.554,5.545
5.648,5.559,5.522,5.522
5.592,5.545,5.55,5.554
5.55,5.592,5.568,5.564
5.564,5.564,5.583,5.54
5.629,5.573,5.545,5.568
5.573,5.522,5.545,5.554
5.554,5.578,5.559,5.522
5.615,5.554,5.554,5.512
5.611,5.573,5.559,5.531
5.634,5.554,5.583,5.531
5.587,5.503,5.536,5.489
5.597,5.554,5.545,5.517
5.629,5.55,5.526,5.531
5.648,5.578,5.531,5.536
5.644,5.554,5.573,5.559
5.639,5.526,5.536,5.526
5.611,5.587,5.564,5.526
5.592,5.55,5.554,5.568
5.554,5.522,5.545,5.564
5.606,5.578,5.545,5.475
5.629,5.554,5.564,5.507
5.601,5.526,5.554,5.512
5.615,5.54,5.545,5.573
5.564,5.536,5.554,5.559
5.583,5.522,5.54,5.559
5.597,5.55,5.531,5.578
5.592,5.536,5.545,5.536
5.625,5.55,5.54,5.564
5.615,5.578,5.559,5.564
5.644,5.568,5.597,5.503
5.606,5.545,5.568,5.507
5.611,5.545,5.559,5.531
5.606,5.564,5.559,5.447
5.615,5.597,5.554,5.512
5.615,5.587,5.564,5.475
5.629,5.559,5.536,5.573
5.578,5.503,5.554,5.568
5.55,5.545,5.564,5.507
5.583,5.578,5.597,5.545
5.606,5.568,5.564,5.522
5.639,5.498,5.583,5.512
5.597,5.554,5.568,5.554
5.625,5.559,5.559,5.564
5.611,5.559,5.54,5.545
5.611,5.545,5.568,5.498
5.601,5.55,5.559,5.489
5.587,5.573,5.559,5.526
5.606,5.573,5.606,5.493
5.601,5.479,5.573,5.55
5.545,5.597,5.559,5.536
5.615,5.489,5.559,5.526
5.634,5.479,5.587,5.54
5.597,5.545,5.54,5.493
5.592,5.564,5.54,5.531
5.583,5.493,5.583,5.587
5.606,5.601,5.564,5.517
5.583,5.554,5.545,5.545
5.634,5.54,5.526,5.489
5.597,5.559,5.583,5.578
5.587,5.531,5.55,5.531
5.615,5.587,5.554,5.601
5.625,5.54,5.559,5.526
5.601,5.578,5.583,5.568
5.592,5.536,5.531,5.493
5.583,5.55,5.559,5.554
5.62,5.536,5.564,5.507
5.615,5.583,5.564,5.526
5.62,5.545,5.531,5.573
5.564,5.564,5.564,5.568
5.597,5.498,5.536,5.498
5.611,5.526,5.54,5.54
5.634,5.507,5.545,5.512
5.606,5.54,5.55,5.522
5.601,5.536,5.545,5.54
5.629,5.503,5.559,5.545
5.606,5.526,5.554,5.522
5.573,5.54,5.554,5.522
5.601,5.568,5.54,5.512
5.648,5.493,5.54,5.545
5.564,5.531,5.536,5.568
5.592,5.545,5.54,5.554
5.578,5.578,5.55,5.522
5.578,5.554,5.531,5.517
5.578,5.536,5.55,5.517
5.597,5.578,5.531,5.545
5.601,5.592,5.559,5.559
5.568,5.573,5.512,5.522
5.644,5.564,5.554,5.536
5.559,5.573,5.545,5.475
5.625,5.526,5.545,5.503
5.601,5.601,5.55,5.493
5.597,5.578,5.54,5.489
5.564,5.512,5.545,5.512
5.554,5.512,5.54,5.522
5.597,5.597,5.545,5.545
5.625,5.568,5.517,5.531
5.559,5.568,5.545,5.531
5.62,5.507,5.54,5.536
5.662,5.554,5.55,5.55
5.601,5.54,5.55,5.54
5.625,5.507,5.545,5.517
5.597,5.564,5.564,5.531
5.578,5.536,5.545,5.554
5.615,5.517,5.531,5.568
5.601,5.493,5.526,5.545
5.597,5.503,5.526,5.568
5.629,5.526,5.545,5.54
5.611,5.545,5.531,5.559
5.573,5.573,5.536,5.568
5.634,5.503,5.55,5.526
5.601,5.531,5.531,5.55
5.597,5.55,5.526,5.559
5.55,0.0,5.54,5.512
5.564,5.587,5.522,5.583
5.573,5.554,5.54,5.503
5.592,5.559,5.536,5.559
5.601,5.578,5.55,5.531
5.564,5.526,5.536,5.559
5.592,5.554,5.512,5.568
5.606,5.606,5.554,5.479
5.587,5.526,5.531,5.564
5.606,5.564,5.54,5.536
5.55,5.564,5.55,5.573
5.583,5.554,5.554,5.512
5.601,5.564,5.522,5.507
5.601,5.559,5.531,5.522
5.54,5.507,5.522,5.583
5.568,5.531,5.55,5.512
5.615,5.554,5.559,5.517
5.625,5.568,5.526,5.489
5.639,5.54,5.536,5.526
5.587,5.578,5.545,5.545
5.634,5.583,5.54,5.545
5.601,5.554,5.536,5.507
5.597,5.545,5.568,5.531
5.601,5.531,5.526,5.512
5.611,5.583,5.559,5.512
5.601,5.564,5.536,5.54
5.606,5.578,5.522,5.531
5.54,5.592,5.545,5.531
5.545,5.493,5.522,5.559
5.573,5.578,5.573,5.489
5.587,5.54,5.554,5.526
5.536,5.583,5.55,5.503
5.554,5.507,5.55,5.498
5.592,5.568,5.545,5.531
5.629,5.568,5.573,5.512
5.601,5.54,5.554,5.512
5.597,5.583,5.55,5.531
5.559,5.597,5.559,5.536
5.597,5.634,5.564,5.531
5.592,5.545,5.55,5.498
5.587,5.573,5.526,5.507
5.587,5.583,5.531,5.503
5.587,5.531,5.526,5.545
5.573,5.522,5.554,0.0
5.583,5.545,5.578,0.0
5.564,5.559,5.554,5.545
5.55,5.517,5.55,5.554
5.606,5.578,5.526,5.512
5.625,5.564,5.55,5.522
5.578,5.568,5.55,5.522
5.564,5.583,5.545,5.517
5.601,5.554,5.554,5.554
5.587,5.568,5.55,5.55
5.568,5.592,5.545,5.517
5.62,5.583,5.536,5.531
5.55,5.536,5.54,5.545
5.583,5.559,5.55,5.545
5.578,5.583,5.545,5.531
5.592,5.526,5.55,5.54
5.597,5.531,5.554,5.545
5.554,5.522,5.54,5.503
5.578,5.545,5.545,5.55
5.583,5.507,5.564,5.522
5.592,5.554,5.559,5.493
5.578,5.564,5.573,5.526
5.625,5.568,5.54,5.545
5.531,5.554,5.55,5.503
5.587,5.554,5.55,5.522
5.625,5.559,5.536,5.517
5.573,5.545,5.55,5.54
5.62,5.545,5.554,5.578
5.583,5.55,5.531,5.545
5.592,5.545,5.554,5.522
5.531,5.554,5.54,5.512
5.625,5.554,5.545,5.531
5.54,5.568,5.55,5.536
5.578,5.55,5.536,5.507
5.564,5.54,5.536,5.526
5.559,5.573,5.54,5.531
5.573,5.526,5.568,5.526
5.559,5.536,5.564,5.545
5.55,5.493,5.536,5.526
5.587,5.568,5.55,5.507
5.639,5.54,5.55,5.559
5.568,5.578,5.564,5.507
5.545,5.573,5.54,5.489
5.629,5.517,5.554,5.554
5.583,5.559,5.559,5.526
5.578,5.536,5.545,5.517
5.54,5.564,5.554,5.54
5.611,5.54,5.564,5.489
5.54,5.531,5.554,5.522
5.592,5.564,5.54,5.564
5.597,5.517,5.536,5.522
5.592,5.568,5.564,5.517
5.573,5.522,5.536,5.531
5.573,5.522,5.55,5.507
5.583,5.587,5.545,5.55
5.629,5.554,5.545,5.536
5.601,5.578,5.54,5.55
5.559,5.587,5.531,5.559
5.592,5.498,5.54,5.55
5.592,5.507,5.531,5.564
5.587,5.526,5.554,5.54
5.554,5.55,5.536,5.54
5.601,5.489,5.578,5.536
5.536,5.573,5.545,5.573
5.559,5.531,5.531,5.545
5.587,5.578,5.545,5.554
5.592,5.503,5.554,5.526
5.578,5.545,5.512,5.531
5.564,5.554,5.54,5.559
5.564,5.54,5.55,5.554
5.583,5.54,5.526,5.507
5.568,5.554,5.531,5.512
5.606,5.578,5.568,5.503
5.625,5.568,5.54,5.512
5.587,5.517,5.55,5.498
5.615,5.522,5.536,5.517
5.587,5.54,5.545,5.55
5.564,5.54,5.512,5.512
5.54,5.531,5.536,5.564
5.568,5.554,5.554,5.536
5.55,5.531,5.55,5.587
5.578,5.55,5.531,5.583
5.554,5.545,5.517,5.526
5.578,5.493,5.55,5.568
5.573,5.587,5.545,5.545
5.568,5.517,5.545,5.573
5.568,5.568,5.54,5.498
5.573,5.601,5.526,5.517
5.611,5.545,5.531,5.493
5.625,5.55,5.531,5.55
5.615,5.531,5.564,5.512
5.583,5.545,5.54,5.512
5.587,5.54,5.559,5.517
5.601,5.545,5.526,5.568
5.639,5.536,5.554,5.55
5.573,5.554,5.536,5.597
5.629,5.484,5.554,5.55
5.573,5.493,5.526,5.489
5.564,5.54,5.531,5.54
5.601,5.545,5.55,5.526
5.62,5.559,5.54,5.531
5.578,5.536,5.545,5.507
5.554,5.489,5.54,5.493
5.583,5.522,5.531,5.545
5.597,5.54,5.54,5.512
5.545,5.503,5.54,5.564
5.578,5.522,5.545,5.493
5.54,5.517,5.512,5.493
5.587,5.526,5.536,5.526
5.601,5.578,5.545,5.512
5.554,5.498,5.531,5.545
5.583,5.526,5.536,5.517
5.564,5.526,5.559,5.554
5.564,5.517,5.536,5.507
5.554,5.503,5.517,5.517
5.564,5.568,5.554,5.554
5.545,5.522,5.564,5.512
5.583,5.531,5.54,5.493
5.554,5.55,5.55,5.55
5.597,5.498,5.531,5.484
5.597,5.526,5.545,5.517
5.615,5.545,5.545,5.54
5.592,5.55,5.55,5.573
5.615,5.526,5.54,5.522
5.564,5.564,5.526,5.597
5.554,5.517,5.568,5.493
5.545,5.536,5.554,5.526
5.606,5.517,5.554,5.568
5.597,5.554,5.564,5.507
5.587,5.55,5.545,5.559
5.606,5.587,5.522,5.517
5.573,5.531,5.545,5.507
5.606,5.512,5.54,5.545
5.601,5.526,5.545,5.531
5.611,5.545,5.554,5.55
5.583,5.54,5.526,5.522
5.606,5.531,5.554,5.559
5.606,5.559,5.554,5.536
5.583,0.0,0.0,0.0
5.597,5.517,5.554,5.568
5.573,5.536,5.564,5.559
5.559,5.503,5.531,5.531
5.578,5.545,5.526,5.564
5.583,5.578,5.545,5.597
5.554,5.597,5.531,5.545
5.601,5.531,5.54,5.522
5.615,5.554,5.522,5.507
5.606,5.531,5.536,5.522
5.611,5.559,5.54,5.536
5.573,5.507,5.536,5.503
5.62,5.517,5.536,5.531
5.597,5.498,5.559,5.554
5.62,5.55,5.559,5.536
5.554,5.578,5.55,5.512
5.578,5.545,5.536,5.568
5.55,5.554,5.564,5.554
5.639,5.592,5.559,5.559
5.597,5.522,5.517,5.554
5.597,5.568,5.545,5.559
5.611,5.559,5.55,5.517
5.62,5.55,5.568,5.578
5.587,5.517,5.573,5.54
5.554,5.54,5.531,5.54
5.583,5.522,5.564,5.531
5.573,5.522,5.545,5.54
5.578,5.517,5.545,5.517
5.573,5.564,5.568,5.522
5.536,5.54,5.54,5.493
5.587,5.568,5.55,5.559
5.554,5.536,5.554,5.559
5.597,5.568,5.531,5.531
5.597,5.55,5.522,5.536
5.583,5.545,5.545,5.517
5.564,5.526,5.564,5.536
5.615,5.531,5.559,5.531
5.583,5.503,5.568,5.507
5.559,5.568,5.545,5.554
5.559,5.564,5.536,5.54
5.559,5.554,5.55,5.512
5.545,5.55,5.536,5.54
5.625,5.554,5.559,5.578
5.592,5.522,5.559,5.54
5.573,5.536,5.54,5.545
5.568,5.564,5.554,5.554
5.564,5.55,5.554,5.545
5.568,5.545,5.545,5.531
5.564,5.526,5.55,5.559
5.578,5.531,5.526,5.554
5.587,5.564,5.531,5.55
5.559,5.55,5.531,5.517
5.629,5.568,5.568,5.545
5.531,5.573,5.522,5.517
5.601,5.55,5.55,5.559
5.592,5.564,5.536,5.531
5.611,5.592,5.55,5.526
5.564,5.507,5.55,5.503
5.592,5.517,5.564,5.536
5.606,5.531,5.554,5.559
5.583,5.545,5.573,5.522
5.587,5.578,5.564,5.517
5.583,5.55,5.554,5.522
5.55,5.554,5.531,5.531
5.583,5.559,5.559,5.503
5.55,5.55,5.545,5.531
5.606,5.517,5.526,5.503
5.615,5.517,5.578,5.564
5.545,5.536,5.568,5.55
5.545,5.54,5.55,5.503
5.611,5.545,5.536,5.564
5.503,5.545,5.536,5.564
5.583,5.531,5.54,5.536
5.615,5.536,5.536,5.559
5.601,5.498,5.54,5.564
5.554,5.479,5.536,5.559
5.615,5.554,5.531,5.517
5.615,5.522,5.522,5.597
5.573,5.522,5.568,5.545
5.573,5.522,5.573,5.522
5.554,5.507,5.531,5.526
5.592,5.493,5.522,5.55
5.578,5.55,5.517,5.503
5.601,5.583,5.536,5.512
5.587,5.554,5.559,5.559
5.676,5.573,5.559,5.498
5.634,5.611,5.573,5.517
5.597,5.578,5.545,5.531
5.667,5.583,5.55,5.531
5.554,5.54,5.54,5.493
5.606,5.564,5.564,5.512
5.625,5.522,5.559,5.517
5.62,5.536,5.564,5.564
5.611,5.564,5.55,5.517
5.554,5.517,5.55,5.475
5.629,5.573,5.54,5.564
5.573,5.573,5.545,5.54
5.606,5.517,5.55,5.493
5.634,5.564,5.536,5.568
5.597,5.573,5.564,5.564
5.625,5.517,5.545,5.517
5.592,5.522,5.55,5.554
5.601,5.498,5.536,5.545
5.587,5.564,5.54,5.55
5.583,5.536,5.554,5.536
5.597,5.545,5.559,5.475
5.564,5.564,5.512,5.55
5.573,5.559,5.54,5.465
5.597,5.578,5.554,5.493
5.611,5.559,5.564,5.536
5.583,5.517,5.564,5.559
5.568,5.536,5.536,5.578
5.597,5.512,5.554,5.512
5.601,5.587,5.545,5.54
5.536,5.554,5.559,5.564
5.597,5.578,5.536,5.536
5.564,5.587,5.531,5.536
5.559,5.526,5.554,5.531
5.606,5.54,5.554,5.536
5.629,5.55,5.554,5.479
5.601,5.583,5.554,5.479
