A0,A1,A2,A3
16.755,16.746,16.718,16.704
16.764,16.769,16.718,16.685
16.797,16.783,16.713,16.695
16.779,16.76,16.732,16.708
16.783,16.736,16.736,16.732
16.764,16.755,16.713,16.699
16.783,16.732,16.713,16.718
16.788,16.779,16.755,16.708
16.788,16.75,16.736,16.69
16.774,16.802,16.732,16.703
16.764,16.746,16.736,16.732
16.779,16.774,16.713,16.736
16.793,16.793,16.741,16.722
16.783,16.76,16.741,16.704
16.797,16.755,16.736,16.695
16.769,16.769,16.718,16.736
16.779,16.746,16.741,16.69
16.774,16.746,16.722,16.718
16.779,16.722,16.727,16.709
16.779,16.755,16.727,16.708
16.779,16.76,16.727,16.695
16.779,16.802,16.718,16.699
16.779,16.75,16.76,16.722
16.75,16.741,16.736,16.727
16.774,16.76,16.713,16.727
16.802,16.746,16.732,16.722
16.76,16.76,16.736,16.709
16.755,16.741,16.703,16.703
16.793,16.736,16.713,16.703
16.774,16.793,16.755,16.703
16.797,16.727,16.722,16.713
16.788,16.769,16.764,16.699
16.75,16.76,16.703,16.732
16.83,16.741,16.746,16.703
16.779,16.802,16.736,16.695
16.788,16.783,16.713,16.704
16.75,16.802,16.746,16.709
16.793,16.769,16.732,16.736
16.793,16.746,16.732,16.699
16.802,16.75,16.718,16.746
16.755,16.755,16.741,16.713
16.741,16.764,16.727,16.718
16.811,16.713,16.718,16.713
16.788,16.788,16.722,16.704
16.769,16.727,16.708,16.685
16.811,16.764,16.713,16.718
16.755,16.75,16.718,16.69
16.755,16.732,16.732,16.704
16.779,16.713,16.695,16.676
16.774,16.741,16.732,16.736
16.774,16.718,16.741,16.713
16.807,16.769,16.722,16.722
16.769,16.741,16.703,16.69
16.755,16.769,16.727,16.732
16.741,16.788,16.718,16.685
16.797,16.774,16.736,16.704
16.764,16.764,16.718,16.709
16.793,16.783,16.732,16.722
16.783,16.764,16.736,16.685
16.774,16.774,16.727,16.708
16.779,16.727,16.727,16.709
16.793,16.788,16.746,16.722
16.769,16.75,16.764,16.703
16.788,16.746,16.727,16.727
16.764,16.75,16.709,16.718
16.779,16.746,16.741,16.718
16.774,16.736,16.722,16.695
16.788,16.741,16.718,16.703
16.76,16.727,16.746,16.741
16.793,16.76,16.741,16.727
16.797,16.755,16.741,16.713
16.793,16.746,16.732,16.681
16.779,16.75,16.722,16.699
16.774,16.788,16.75,16.718
16.783,16.755,16.76,16.709
16.774,16.769,16.783,16.722
16.774,16.769,16.736,16.699
16.774,16.774,16.746,16.741
16.779,16.732,16.722,16.699
16.774,16.769,16.732,16.713
16.755,16.83,16.741,16.685
16.793,16.788,16.741,16.709
16.793,16.718,16.741,16.713
16.793,16.788,16.76,16.722
16.75,16.718,16.736,16.699
16.736,16.703,16.713,16.718
16.783,16.793,16.76,16.713
16.816,16.797,16.727,16.704
16.769,16.736,16.741,16.741
16.802,16.755,16.732,16.709
16.769,16.746,16.732,16.708
16.779,16.76,16.746,16.722
16.788,16.741,16.722,16.722
16.793,16.713,16.722,16.718
16.788,16.76,16.769,16.699
16.76,16.793,16.75,16.727
16.764,16.764,16.764,16.703
16.783,16.811,16.746,16.732
16.797,16.797,16.727,16.708
16.769,16.76,16.727,16.699
16.764,16.764,16.76,16.703
16.797,16.755,16.713,16.722
16.774,16.736,16.727,16.732
16.774,16.788,16.736,16.699
16.769,16.788,16.713,16.69
16.788,16.75,16.75,16.704
16.769,16.788,16.75,16.676
16.811,16.797,16.741,16.708
16.788,16.76,16.718,16.709
16.783,16.76,16.75,16.709
16.783,16.774,16.736,16.718
16.783,16.774,16.75,16.709
16.779,16.741,16.746,16.703
16.774,16.769,16.76,16.708
16.769,16.797,16.741,16.722
16.807,16.75,16.755,16.713
16.797,16.774,16.708,16.704
16.807,16.774,16.732,16.681
16.779,16.76,16.722,16.704
16.779,16.807,16.746,16.713
16.76,16.769,16.727,16.699
16.779,16.774,16.746,16.703
16.811,16.741,16.727,16.667
16.821,16.76,16.746,16.713
16.783,16.755,16.727,16.709
16.788,16.797,16.718,16.676
16.783,16.741,16.746,16.699
16.769,16.746,16.709,16.718
16.797,16.76,16.718,16.708
16.769,16.746,16.736,16.703
16.797,16.764,16.732,16.699
16.783,16.793,16.718,16.709
16.769,16.741,16.722,16.708
16.76,16.741,16.703,16.709
16.774,16.779,16.681,16.699
16.783,16.755,16.709,16.69
16.802,16.769,16.708,16.695
16.769,16.774,16.722,16.704
16.783,16.779,16.713,16.704
16.76,16.75,16.722,16.69
16.746,16.76,16.732,16.667
16.769,16.774,16.713,16.732
16.788,16.76,16.736,16.703
16.811,16.76,16.704,16.69
16.764,16.764,16.713,16.704
16.793,16.816,16.732,16.699
16.788,16.764,16.713,16.722
16.807,16.741,16.713,16.676
16.764,16.75,16.704,16.695
16.783,16.741,16.736,16.699
16.779,16.793,16.75,16.741
16.783,16.774,16.713,16.704
16.793,16.783,16.746,16.732
16.797,16.755,16.75,16.713
16.755,16.793,16.722,16.703
16.769,16.793,16.732,16.718
16.793,16.788,16.727,16.704
16.774,16.779,16.769,16.732
16.797,16.746,16.713,16.709
16.793,16.764,16.76,16.713
16.783,16.769,16.713,16.736
16.793,16.779,16.741,16.699
16.783,16.783,16.718,16.709
16.811,16.779,16.713,16.736
16.764,16.779,16.75,16.695
16.774,16.722,16.741,16.709
16.797,16.769,16.741,16.741
16.802,16.764,16.746,16.685
16.797,16.779,16.708,16.713
16.774,16.783,16.741,16.703
16.783,16.76,16.741,16.704
16.774,16.774,16.736,16.708
16.769,16.788,16.718,16.703
16.779,16.769,16.722,16.718
16.779,16.769,16.746,16.713
16.783,16.727,16.746,16.727
16.764,16.764,16.76,16.708
16.802,16.746,16.736,16.708
16.769,16.788,16.718,16.704
16.816,16.727,16.736,16.732
16.779,16.793,16.732,16.699
16.797,16.764,16.736,16.718
16.793,16.741,16.713,16.755
16.769,16.769,16.718,16.667
16.774,16.736,16.764,16.676
16.779,16.764,16.746,16.708
16.764,16.732,16.718,16.727
16.783,16.741,16.741,16.695
16.774,16.727,16.703,16.695
16.783,16.774,16.736,16.69
16.746,16.741,16.736,16.704
16.769,16.76,16.75,16.713
16.774,16.755,16.746,16.708
16.779,16.703,16.75,16.699
16.816,16.746,16.76,16.699
16.764,16.76,16.727,16.718
16.774,16.779,16.708,16.709
16.783,16.76,16.722,16.718
16.755,16.774,16.741,16.704
16.764,16.769,16.718,16.713
16.769,16.727,16.727,16.699
16.783,16.727,16.703,16.708
16.779,16.755,16.718,16.708
16.783,16.718,16.764,16.704
16.783,16.746,16.722,16.709
16.764,16.732,16.727,16.746
16.783,16.779,16.713,16.695
16.779,16.788,16.76,16.741
16.779,16.75,16.727,16.704
16.779,16.755,16.732,16.703
16.783,16.797,16.718,16.708
16.788,16.764,16.76,16.709
16.755,16.732,16.722,16.709
16.779,16.75,16.713,16.727
16.783,16.718,16.708,16.704
16.793,16.76,16.713,16.713
16.774,16.75,16.718,16.722
16.783,16.746,16.75,16.709
16.769,16.75,16.727,16.709
16.807,16.793,16.764,16.718
16.764,16.732,16.713,16.703
16.783,16.736,16.732,16.704
16.825,16.764,16.722,16.676
16.802,16.741,16.736,16.699
16.788,16.764,16.732,16.709
16.816,16.732,16.727,16.704
16.779,16.76,16.718,16.69
16.774,16.774,16.755,16.708
16.788,16.741,16.746,16.703
16.76,16.779,16.746,16.718
16.769,16.793,16.755,16.709
16.793,16.779,16.741,16.718
16.783,16.755,16.746,16.718
16.793,16.764,16.736,16.718
16.774,16.76,16.746,16.708
16.802,16.764,16.741,16.718
16.793,16.779,16.722,16.708
16.811,16.769,16.732,16.741
16.783,16.741,16.746,16.718
16.769,16.783,16.732,16.667
16.793,16.769,16.755,16.699
16.793,16.797,16.746,16.703
16.774,16.746,16.736,16.69
16.807,16.793,16.722,16.722
16.797,16.713,16.718,16.704
16.807,16.741,16.741,16.746
16.75,16.755,16.746,16.685
16.769,16.76,16.741,16.722
16.779,16.774,16.736,16.741
16.793,16.741,16.75,16.703
16.774,16.769,16.76,16.704
16.788,16.741,16.75,16.708
16.788,16.769,16.76,16.736
16.783,16.736,16.75,16.732
16.788,16.802,16.741,16.722
16.779,16.75,16.746,16.699
16.797,16.788,16.722,16.732
16.783,16.764,16.769,16.69
16.764,16.783,16.741,16.703
16.755,16.788,16.741,16.681
16.769,16.802,16.736,16.718
16.802,16.783,16.732,16.703
16.779,16.764,16.727,16.681
16.788,16.797,16.732,16.676
16.764,16.788,16.76,16.69
16.764,16.736,16.732,16.718
16.802,16.764,16.713,16.736
16.774,16.797,16.76,16.704
16.783,16.807,16.732,16.699
16.774,16.797,16.76,16.727
16.788,16.793,16.755,16.662
16.793,16.783,16.755,16.732
16.788,16.764,16.736,16.685
16.769,16.736,16.769,16.727
16.783,16.755,16.722,16.69
16.774,16.779,16.736,16.709
16.764,16.769,16.736,16.695
16.764,16.727,16.783,16.713
16.779,16.764,16.755,16.709
16.802,16.769,16.736,16.695
16.76,16.779,16.746,16.722
16.783,16.769,16.732,16.709
16.797,16.788,16.75,16.722
16.76,16.774,16.741,16.727
16.769,16.75,16.732,16.704
16.779,16.793,16.741,16.732
16.769,16.736,16.741,16.709
16.783,16.76,16.732,16.736
16.774,16.746,16.722,16.708
16.779,16.75,16.764,16.713
16.755,16.779,16.764,16.713
16.783,16.769,16.769,16.718
16.793,16.774,16.736,16.746
16.779,16.764,16.727,16.713
16.783,16.732,16.76,16.732
16.797,16.783,16.741,16.708
16.793,16.746,16.76,16.69
16.788,16.769,16.746,16.699
16.802,16.708,16.764,16.685
16.764,16.769,16.755,16.708
16.779,16.755,16.75,16.713
16.788,16.764,16.732,16.699
16.76,16.76,16.732,16.703
16.774,16.788,16.75,16.695
16.802,16.764,16.732,16.667
16.76,16.764,16.75,16.671
16.788,16.746,16.732,16.713
16.793,16.75,16.755,16.709
16.788,16.741,16.746,16.722
